,Song,Artist,artist_trunc,search_term,lyrics_raw
601,Bad Girls,Donna Summer,Donna Summer,Bad Girls Donna Summer,error
602,Le Freak,Chic,Chic,Le Freak Chic,error
603,Da Ya Think I'm Sexy?,Rod Stewart,Rod Stewart,Da Ya Think I'm Sexy? Rod Stewart,"{Intro}

Sugar, sugar

She sits alone waiting for suggestions
He's so nervous avoiding all the questions
His lips are dry, her heart is gently pounding
Don't you just know exactly what they're thinking

If you want my body and you think I'm sexy
Come on sugar let me know
If you really need me just reach out and touch me
Come on honey tell me so
Tell me so baby

{Bridge}

He's acting shy looking for an answer
Come on honey let's spend the night together
Now hold on a minute before we go much further
Give me a dime so I can phone my mother
They catch a cab to his high rise apartment
At last he can tell her exactly what his heart meant

If you want my body and you think I'm sexy
Come on honey tell me so
If you really need me just reach out and touch me
Come on sugar let me know

His heart's beating like a drum
'cos at last he's got this girl home
Relax baby now we are all alone

{Instrumental}

They wake at dawn 'cos all the birds are singing
Two total strangers but that ain't what they're thinking
Outside it's cold, misty and it's raining
They got each other neither one's complaining
He say's I sorry but I'm out of milk and coffee
Never mind sugar we can watch the early movie

If you want my body and you think I'm sexy
Come on sugar let me know
If you really need me just reach out and touch me
Come on honey tell me so

{Bridge}

If you really need me just reach out and touch me
Come on sugar let me know
If you really, really, really, really need me
Just let me know
Just reach out and touch me
If you really want me
Just reach out and touch me
Come on sugar let me know
If you really need me just reach out and touch me
Come on sugar let me know
If you, if you, if you really need me
Just come on and tell me so"
604,Reunited,Peaches & Herb,Peaches &,Reunited Peaches &,"[Verse 1:]
I was a fool to ever leave your side
Me minus you is such a lonely ride
The breakup we had
Has made me lonesome and sad
I realize I love you cause
I want you back, hey, hey

I spent the evening with the radio
Regret the moment that I let you go
Our quarrel was such
A way of learning so much
I know now that I love you
Cause I need your touch, hey, hey

[Chorus:]
Reunited
And it feels so good
Reunited
Cause we understood

There`s one perfect fit
And sugar, this one is it
We both are so excited
Cause we`re reunited
Hey, hey

[Verse 2:]
I sat here staring
At the same old wall
Came back to life just when I got your call

I wished I could climb right
Through the telephone line
And give you what you want
So you will still be mine
Hey, hey

I can't go cheating
Honey, I can't play
I found it very hard to stay away

As we reminisce on
Precious moments like this
I`m glad we`re back together
Cause I missed your kiss
Hey, hey

[Repeat Chorus:]
Reunited
And it feels so good
Reunited
Cause we understood

There`s one perfect fit
And sugar, this one is it
We both are so excited
Cause we`re reunited
Hey, hey

Yeah, yeah, yeah, baby

[Verse 3:]
Oh, lover, lover
This is solid love
And you`re exactly what I`m dreaming of

All through the day
And all through the night
I`ll give you all the love I have
With all my might
Hey, hey

[Repeat Chorus:]
Reunited
And it feels so good
Reunited
Cause we understood

There`s one perfect fit
And sugar, this one is it..."
605,I Will Survive,Gloria Gaynor,Gloria Gaynor,I Will Survive Gloria Gaynor,"At first, I was afraid, I was petrified
Kept thinking I could never live without you by my side
But then I spent so many nights thinking how you did me wrong
And I grew strong and I learned how to get along

And so you're back from outer space
I just walked in to find you here with that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I'd have known for just one second you'd be back to bother me

Go on now go, walk out the door, just turn around now
'cause you're not welcome anymore
Weren't you're the one who tried to hurt me with goodbye?
You think I'd crumble? You think I'd lay down and die?

Oh, no, not I, I will survive
Oh as long as I know how to love, I know I'm still alive
I've got my life to live, and I've got all my love to give
And I'll survive, I, I , I will survive

It took all my strength not to fall apart
Trying with all my mind to mend my broken heart
I spent, so many nights feeling sorry for myself
Oh, I used to cry but now I hold my head up high

And you see me, somebody new
Not that lonely little person still in love with you
Now you come dropping in expecting me to be free
Now I'm saving all my loving for someone who's loving me

Go on go, walk out the door, turn around now
You're not welcome anymore
You're the one, who tried to hurt me with goodbye?
Did you think I'd crumble? Did you think I'd lay down and die?

Oh, no, not I, I will survive
Long as I know how to love, I know I'll stay alive
I've got my life to live, and all my love to give
And I'll survive, I, I , I will survive
Go on go, walk out the door, turn around now
You're not welcome anymore
You're the one, who tried to hurt me with goodbye?
Did you think I'd crumble? Did you think I'd lay down and die?

Oh, no, not I, I will survive
Long as I know how to love, I know I'll stay alive
I've got my life to live, and all my love to give
And I'll survive, I, I , I will survive"
606,Hot Stuff,Donna Summer,Donna Summer,Hot Stuff Donna Summer,"[Intro]

[Verse 1]
Sittin' here eatin' my heart out waitin'
Waitin' for some lover to call
Dialed about a thousand numbers lately
Almost rang the phone off the wall

[Chorus 1]
Lookin' for some hot stuff, baby, this evenin'
I need some hot stuff, baby, tonight
I want some hot stuff, baby, this evenin'
Gotta have some hot stuff
Gotta have some love tonight (hot stuff)
I need hot stuff
I want some hot stuff
I need hot stuff

[Verse 2]
Lookin' for a lover who needs another
Don't want another night on my own
Wanna share my love with a warm blooded lover
Wanna bring a wild man back home

[Chorus 2]
Gotta have some hot love, baby, this evenin'
I need some hot stuff, baby, tonight
I want some hot stuff, baby, this evenin'
Gotta have some lovin'
Gotta have love tonight (hot stuff)
I need hot stuff
Hot love
Lookin' for hot love

[Bridge]
Hot, hot, hot, hot stuff
Hot, hot, hot
Hot, hot, hot, hot stuff
Hot, hot, hot

[Chorus 3]
How's about some hot stuff, baby, this evenin'?
I need some hot stuff baby, tonight
Gimme a little hot stuff, baby, this evenin'
Hot love, baby
Gonna need your love tonight (hot stuff)
I need hot love
Lookin' for hot love
Wanna have hot love

[Verse 3]
Sittin' here eatin' my heart out, no reason
Won't spend another night on my own
I dialled about a hundred numbers lately
I'm bound to find somebody home

[Outro]
Gonna have some hot stuff, baby, this evenin'
I need some hot stuff, baby, tonight
Lookin' for my hot stuff, baby, this evenin'
Need some lovin', baby, gonna need your love tonight

Hot stuff Hot stuff
Hot stuff Hot stuff

Hot, hot, hot, hot stuff
Hot, hot, hot
Hot, hot, hot, hot stuff
Hot, hot, hot

Gonna have some hot stuff, baby, this evenin'
I need some hot stuff, baby, tonight
Lookin' for my hot stuff, baby, this evenin'
Need some lovin', baby, gonna need your love tonight
I want some hot stuff, baby, this evenin'
I want some hot stuff, baby, tonight

I want some hot stuff, baby, this evenin'
I want some hot stuff, baby, this evenin'
I want some hot stuff, baby, this evenin'
Hot stuff, baby, gonna need your love tonight"
607,Y.M.C.A.,Village People,Village People,Y.M.C.A. Village People,"[Verse 1]
Young man, there's no need to feel down
I said, young man, pick yourself off the ground
I said, young man, cause you're in a new town
There's no need to be unhappy
Young man, there's a place you can go
I said, young man, when you're short on your dough
You can stay there, and I'm sure you will find
Many ways to have a good time

[Hook]
It's fun to stay at the Y.M.C.A
It's fun to stay at the Y.M.C.A
They have everything for you men to enjoy
You can hang out with all the boys
It's fun to stay at the Y.M.C.A
It's fun to stay at the Y.M.C.A
You can get yourself clean, you can have a good meal
You can do whatever you feel

[Verse 2]
Young man, are you listening to me?
I said, young man, what do you want to be?
I said, young man, you can make real your dreams
But you got to know this one thing
No man does it all by himself
I said, young man, put your pride on the shelf
And just go there, to the Y.M.C.A
I'm sure they can help you today

[Hook]
It's fun to stay at the Y.M.C.A
It's fun to stay at the Y.M.C.A
They have everything for you men to enjoy
You can hang out with all the boys
It's fun to stay at the Y.M.C.A
It's fun to stay at the Y.M.C.A
You can get yourself clean, you can have a good meal
You can do whatever you feel

[Verse 3]
Young man, I was once in your shoes
I said, I was down and out with the blues
I felt no man cared if I were alive
I felt the whole world was so jive
That's when someone came up to me
And said, young man, take a walk up the street
There's a place there called the Y.M.C.A
They can start you back on your way

[Outro]
It's fun to stay at the Y.M.C.A
It's fun to stay at the Y.M.C.A
They have everything for you men to enjoy
You can hang out with all the boys
Y.M.C.A....It's fun to stay at the Y.M.C.A
Young man, young man, there's no need to feel down
Young man, young man, get yourself off the ground
Y.M.C.A....you'll find it at the Y.M.C.A
No man, no man does it all by himself
Young man, young man, put your pride on the shelf
Y.M.C.A....just go to the Y.M.C.A
Young man, young man, are you listening to me?
Young man, young man, what do you wanna be?
Y.M.C.A....you find in the Y.M.C.A....
No man, no man does it all by himself
Young man, young man, put your pride on the shelf
Y.M.C.A....just go to the Y.M.C.A
Young man, young man I was watching your shoes
Young man, young I was down with the blues"
608,Ring My Bell,Anita Ward,Anita Ward,Ring My Bell Anita Ward,"[Verse 1]
I'm glad you're home
Now did you really miss me
I guess you did by the look in your eyes
(look in your eyes, look in your eyes)
Well lay back and relax while I put away the dishes (put away the dishes)
Then you and me can rock-a-bye

[Hook x4]
You can ring my Be-e-el, ring my bell

[Verse 2]
The night is young, and full of possibilities
Well come on, and let yourself be free
My love for you, so long I've been saving
Tonight was made for me and you

[Hook]

[Bridge]
You can ring my bell, you can ring my bell
Ding dong, ding dong, ring it
You can ring my bell, anytime, anyway
Ring it, ring it ring it, owww

[Hook]"
609,Sad Eyes,Robert John,Robert John,Sad Eyes Robert John,"Looks like it's over, you knew I couldn't stay
She's coming home today
We had a good thing, I'll miss your sweet love
Why must you look at me that way, it's over

Sad eyes, turn the other way
I don't want to see you cry
Sad eyes, you knew there'd come a day
When we would have to say goodbye

Try to remember the magic that we shared
In time your broken heart will mend
I never used you, you knew I really cared
I hate to sit and defend, but it's over

Sad eyes, turn the other way
I don't want to see you cry
Sad eyes, you knew there'd come a day
When we would have to say goodbye

Sad eyes, turn the other way
I don't want to see you cry
Sad eyes, you knew there'd come a day
When we would have to say goodbye

Sad eyes, turn the other way
I don't want to see you cry (cry, cry, cry)
Sad eyes, you knew there'd come a day
When we would have to say goodbye

Sad eyes, turn the other way"
610,Too Much Heaven,Bee Gees,Bee Gees,Too Much Heaven Bee Gees,"[Hook: Barry, Robin & Maurice Gibb]
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

[Verse 1: Barry Gibb]
Oh you and me girl
Got a lot of love in store
And it flows through you
And it flows through me
And I love you so much more
Then my life, I can see beyond forever
Everything we are will never die
Loving's such a beautiful thing
Oh, you make my world a summer day
Are you just a dream to fade away?

[Hook: Barry, Robin & Maurice Gibb]
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

[Verse 2: Barry Gibb]
You and me girl got a highway to the sky
We can turn away from the night and day
And the tears you had to cry
You're my life
I can see a new tomorrow
Everything we are will never die
Loving's such a beautiful thing
When you are to me, the light above
Made for all to see our precious love

[Hook: Barry, Robin & Maurice Gibb]
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

[Interlude]
Love is such a beautiful thing
You make my world a summer day
Are you just a dream to fade away

[Hook] [Barry (with falsetto), Robin & Maurice Gibb]
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as wide as a river
And harder to climb

[Outro]
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb"
611,MacArthur Park,Donna Summer,Donna Summer,MacArthur Park Donna Summer,"[Verse 1:]
Spring was never waiting for us, dear
It ran one step ahead
As we followed in the dance

[Chorus:]
MacArthur's Park is melting in the dark
All the sweet, green icing flowing down
Someone left the cake out in the rain
I don't think that I can take it
'Cause it took so long to bake it
And I'll never have that recipe again
Oh, no

[Verse 2:]
I recall the yellow cotton dress
Foaming like a wave
On the ground beneath your knees
The birds like tender babies in your hands
And the old men playing Chinese checkers by the trees

[Repeat Chorus:]

[Instrumental Interlude]

[Repeat Chorus:]"
612,When You're in Love with a Beautiful Woman,Dr. Hook,Dr. Hook,When You're in Love with a Beautiful Woman Dr. Hook,"When you're in love with a beautiful woman, it's hard
When you're in love with a beautiful woman, you know it's hard
(You know it's hard, you know it gets so hard)
Everybody wants her, everybody loves her
Everybody wants to take your baby home

When you're in love with a beautiful woman you watch your friends
(You watch your friends, you better watch your friends)
When you're in love with a beautiful woman it never ends
(Never ends, you know it never ends)
You know that is crazy and you wanna trust her
Then somebody hangs up when you answer the phone

When you're in love with a beautiful woman, you go it alone
Maybe it's just an ego problem, problem is that I've been fooled before
By fair-weather friends and faint-hearted lovers
And every time it happens it just convinces me more

When you're in love with a beautiful woman, you watch her eyes
(Watch her eyes, baby watch her eyes)
When you're in love with a beautiful woman, you look for lies
(Keep lookin' for lies, baby keep lookin' for eyes)
'Cause everybody tempts her everybody tells her
She's the most beautiful woman they know

When you're in love with a beautiful woman, you go it alone
When you're in love with a beautiful woman you watch your friends
(You watch your friends, you better watch your friends)
When you're in love with a beautiful woman it never ends
(Never ends, you know it never ends)

When you're in love with a beautiful woman, you watch her eyes
(Watch her eyes, baby watch her eyes)
When you're in love with a beautiful woman, you look for lies
(Keep lookin' for lies, baby keep lookin' for eyes)"
613,Makin' It,David Naughton,David Naughton,Makin' It David Naughton,"Makin' it
Ooh-ooh-ooh
Makin' it

I'm solid gold
I've got the goods
They stand when I walk
Through the neighborhoods

I'm makin' it
I've got the chance
I'm takin' it
No more, no more
Fakin' it
This time in life
I'm makin' it (oh-oh-oh)
Makin' it

Hello uptown
Goodbye poverty
The top of the ladder is waiting for me
I'm makin' it
I've got the chance
I'm takin' it
No more, no more
Fakin' it
This time in life
I'm makin' it (oh-oh-oh)

Listen everyone here
This coming year's gonna be my year
I'm as bad as they come
Number two to no one
I've got looks, I've got brains
And I'm breakin' these chains
Make some room now dig what you see
Success is mine
I've got the key
I'm makin' it"
