,Song,Artist,Album,artist_trunc,search_term,lyrics_raw
23,Faded,Alan Walker,Non-album single,Alan Walker,Faded Alan Walker,"[Verse 1: Iselin Solheim]
You were the shadow to my light
Did you feel us?
Another star, you fade away
Afraid our aim is out of sight
Wanna see us alight

[Pre-Chorus 1: Iselin Solheim]
Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?

[Chorus: Iselin Solheim]
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded

[Verse 2: Iselin Solheim]
These shallow waters never met what I needed
I'm letting go, a deeper dive
Eternal silence of the sea
I'm breathing, alive

[Pre-Chorus 2: Iselin Solheim]
Where are you now?
Where are you now?
Under the bright but faded lights
You set my heart on fire
Where are you now?
Where are you now?

[Chorus: Iselin Solheim]
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded"
24,Stitches,Shawn Mendes,Handwritten,Shawn Mendes,Stitches Shawn Mendes,"[Music Video]

[Verse 1]
I thought that I've been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

[Pre-Chorus]
Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Verse 2]
Just like a moth drawn to a flame
Oh, you lured me in I couldn't sense the pain
Your bitter heart, cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

[Pre-Chorus]
Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Bridge]
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Get you out of my head

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Refrain]
Now that I'm without your kisses
I'll be needing stitches
Now that I'm without your kisses
I'll be needing stitches"
25,This Is What You Came For,Calvin Harris featuring Rihanna,Non-album single,Calvin Harris,This Is What You Came For Calvin Harris,"[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

[Post-Chorus: Rihanna]
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh

[Verse: Rihanna]
We go fast with the game we play
Who knows why it's gotta be this way?
We say nothing more than we need
I say ""your place"" when we leave

[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

[Post-Chorus: Rihanna]
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh

[Bridge: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
Yeah

[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh

[Post-Chorus: Rihanna]
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh"
26,Something Just Like This,The Chainsmokers and Coldplay,Memories...Do Not Open,The Chainsmokers,Something Just Like This The Chainsmokers,"[Verse 1: Chris Martin]
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list

[Pre-Chorus: Chris Martin]
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

[Bridge: Chris Martin]
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

[Chorus: Chris Martin]
Oh, I want something just like this
I want something just like this

[Verse 2: Chris Martin]
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

[Pre-Chorus: Chris Martin]
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss

[Chorus: Chris Martin]
I want something just like this
I want something just like this

[Bridge: Chris Martin]
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

[Pre-Chorus: Chris Martin]
Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

[Chorus: Chris Martin]
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this"
27,Hello,Adele,25,Adele,Hello Adele,"[Verse 1]
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles

[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry
For everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry, for breaking your heart
But it don't matter
It clearly doesn't tear you apart anymore

[Verse 2]
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time

[Chorus]
So hello from the other side
I must've called a thousand times
To tell you I'm sorry
For everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry, for breaking your heart
But it don't matter
It clearly doesn't tear you apart anymore

[Bridge]
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore

[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry
For everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry, for breaking your heart
But it don't matter
It clearly doesn't tear you apart anymore

[Produced by Greg Kurstin]
[Music Video]"
28,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,The Weeknd,Can't Feel My Face The Weeknd,"[Produced by Max Martin]

[Verse 1]
And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
But at least we'll both be beautiful and stay forever young
This I know, yeah, this I know

[Pre-Chorus]
She told me, ""don't worry about it""
She told me, ""don't worry no more""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

[Chorus]
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

[Verse 2]
And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
All the misery was necessary when we're deep in love
This I know, girl, I know

[Pre-Chorus]
She told me, ""don't worry about it""
She told me, ""don't worry no more""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

[Chorus]
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

[Pre-Chorus]
She told me, ""don't worry about it""
She told me, ""don't worry no more""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

[Chorus]
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh"
29,Work from Home,Fifth Harmony featuring Ty Dolla $ign,7/27,Fifth Harmony,Work from Home Fifth Harmony,"[Verse 1: Camila]
I ain't worried 'bout nothin', I ain't wearin' na-nada
I'm sittin' pretty, impatient, but I know you gotta
Put in them hours, I'ma make it harder
I'm sending pic after picture, I'ma get you fired

[Pre-Chorus: Normani]
I know you're always on the night shift
But I can't stand these nights alone
And I don't need no explanation
Cause baby, you're the boss at home

[Chorus: Lauren]
You don't gotta go to work, work, work, work
Work, work, work
But you gotta put in work, work, work, work
Work, work, work
You don't gotta go to work, work, work, work
Work, work, work
Let my body do the work, work, work, work
Work, work, work
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh

[Verse 2: Ally]
Let's put it into motion, I'ma give you a promotion
I'll make it feel like a vacay, turn the bed into an ocean
We don't need nobody, I just need your body
Nothin' but sheets in between us, ain't no getting off early

[Pre-Chorus: Dinah + Camila]
I know you're always on the night shift
But I can't stand these nights alone
And I don't need no explanation
Cause baby, you're the boss at home

[Chorus: Lauren]
You don't gotta go to work, work, work, work
Work, work, work
But you gotta put in work, work, work, work
Work, work, work
You don't gotta go to work, work, work, work
Work, work, work
Let my body do the work, work, work, work
Work, work, work
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh

[Verse 3: Ty Dolla $ign]
Oh yeah, girl go to work for me (Work for me)
Can you make it clap, no hands for me?
Take it to the ground, pick it up for me
Look back at it all over me (Oh yeah)
Put in work like my timesheet
She ride it like a '63
I'ma buy her new Céline
Let her ride in a foreign with me
Oh, she the bae, I'm her boo
And she down to break the rules
Ride or die, she gon' go
I'm gon' jugg, she finessin'
I pipe her, she take that
Put in overtime on your body

[Chorus: Lauren & (Camila) & {Dinah}]
You don't gotta go to work, work, work, work
Work, work, work (You ain't gotta go to work, no oh oh)
But you gotta put in work, work, work, work
Work, work, work (No....) {Ooh yeah}
You don't gotta go to work, work, work, work
Work, work, work
Let my body do the work, work, work, work
Work, work, work (No, no, no, no, no, no!)
We can work from home, oh, oh, oh-oh
We can work from home, oh, oh, oh-oh

[Outro: Camila]
Yeah, we can work from home
Yeah, we can work from home
Yeah"
30,Havana,Camila Cabello featuring Young Thug,Camila,Camila Cabello,Havana Camila Cabello,"[Intro: Pharrell Williams]
Hey

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (ayy)
There's somethin' 'bout his manners (uh huh)
Havana, ooh na-na (uh)

[Verse 1: Camila Cabello & Pharrell Williams]
He didn't walk up with that ""how you doin'?"" (uh)
When he came in the room
He said there's a lot of girls I can do with (uh)
But I can't without you
I knew him forever in a minute (hey)
That summer night in June
And papa says he got malo in him (uh)
He got me feelin' like...

[Pre-Chorus: Camila Cabello & Pharrell Williams]
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)
I knew it when I met him (ayy), I loved him when I left him
Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh na-na-na-na-na (woo)

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na (uh huh)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh na-na

[Verse 2: Young Thug]
Jeffery, just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn (fresh out East Atlanta)
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam (here you go, ayy)
Back it on me
Shawty cravin' on me, get to eatin' on me (on me)
She waited on me (then what?)
Shawty cakin' on me, got the bacon on me (wait up)
This is history in the makin', on me (on me)
Point blank, close range, that B
If it cost a million, that's me (that's me)
I was gettin' mula, baby

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (oh, ayy, ayy)
He took me back (uh huh) to East Atlanta, na-na-na (oh, no)
Oh, but my heart is in Havana (ayy)
My heart is in Havana (ayy)
Havana, ooh na-na

[Bridge: Starrah & Camila Cabello]
Ooh na-na, oh, na-na-na (ooh, ooh-ooh-ooh-ooh-ooh-ooh)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, yeah)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back
Hey, hey...
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Take me back to my Havana...

[Chorus: Camila Cabello & Pharrell Williams]
Havana, ooh na-na (hey)
Half of my heart is in Havana, ooh na-na (oh, yeah)
He took me back to East Atlanta, (ayy, ayy) na-na-na
Oh, but my heart is in Havana
My heart is in Havana (ayy)
Havana, ooh na-na

[Outro: Starrah, Camila Cabello & Pharrell Williams]
Uh huh
Oh, na-na-na (oh, na, yeah)
Oh, na-na-na
Oh, na-na-na (no, no, no, take me back)
Oh, na-na-na
Havana, ooh na-na"
31,Take Me to Church,Hozier,Hozier,Hozier,Take Me to Church Hozier,"[Produced by Hozier and Rob Kirwan]

[Video directed by Brendan Canty and Conal Thomson]

[Verse 1: Hozier]
My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week
""We were born sick""
You heard them say it
My church offers no absolutes
She tells me ""worship in the bedroom""
The only heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well

[Pre-Chorus: Hozier]
Amen, Amen, Amen, Amen

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

[Verse 2: Hozier]
If I'm a pagan of the good times
My lover's the sunlight
To keep the goddess on my side
She demands a sacrifice
Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine looking high horse
What you got in the stable?
We've a lot of starving faithful
That looks tasty
That looks plenty
This is hungry work

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

[Bridge: Hozier]
No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean

[Pre-Chorus: Hozier]
Amen, Amen, Amen

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

[Chorus: Hozier]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life"
32,HUMBLE.,Kendrick Lamar,DAMN.,Kendrick Lamar,HUMBLE. Kendrick Lamar,"[Video Intro]
Wicked or weakness?
You gotta see this
Waaaaay (yeah, yeah!)

[Album Intro]
Nobody pray for me
It's been that day for me
Waaaaay (yeah, yeah!)

[Verse 1]
Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I’m countin' this
Parmesan where my accountant lives, in fact I'm downin’ this
D'USSÉ with my boo bae tastes like Kool-Aid for the analysts
Girl, I can buy yo' ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
A.M. to the P.M., P.M. to the A.M., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

[Chorus]
Bitch, be humble (hol’ up, bitch)
Sit down (hol’ up, lil', hol’ up, lil' bitch)
Be humble (hol' up, bitch)
Sit down (hol' up, sit down, lil’, sit down, lil' bitch)
Be humble (hol' up, hol' up)
Bitch, sit down (hol' up, hol' up, lil' bitch)
Be humble (lil' bitch, hol' up, bitch)
Sit down (hol' up, hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (hol' up, bitch)
Sit down (hol' up, sit down, lil', sit down, lil' bitch)
Be humble (hol' up, hol' up)
Bitch, sit down (hol' up, hol' up, lil' bitch)
Be humble (lil' bitch, hol' up, bitch)
Sit down (hol' up, hol' up, hol' up, hol' up)

[Verse 2]
Who dat nigga thinkin' that he frontin' on Man-Man? (Man-Man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still will take you down right on your mama's couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a nigga, it won't be the alcohol, ayy
I'm the realest nigga after all

[Chorus]
Bitch, be humble (hol' up, bitch)
Sit down (hol' up, lil', hol' up, lil' bitch)
Be humble (hol' up, bitch)
Sit down (hol' up, sit down, lil', sit down, lil' bitch)
Be humble (hol' up, hol' up)
Bitch, sit down (hol' up, hol' up, lil' bitch)
Be humble (lil' bitch, hol' up, bitch)
Sit down (hol' up, hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (hol' up, bitch)
Sit down (hol' up, sit down, lil', sit down, lil' bitch)
Be humble (hol' up, hol' up)
Bitch, sit down (hol' up, hol' up, lil' bitch)
Be humble (lil' bitch, hol' up, bitch)
Sit down (hol' up, hol' up, hol' up, hol' up)"
33,Can't Stop the Feeling!,Justin Timberlake,TROLLS: Original Motion Picture Soundtrack,Justin Timberlake,Can't Stop the Feeling! Justin Timberlake,"[Verse 1]
I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone

[Refrain]
I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop

[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine

[Chorus]
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance, come on

[Verse 2]
Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone

[Refrain]
'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop

[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine

[Chorus]
Nothing I can see but you when you dance, dance, dance
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So keep dancing, come on

[Bridge]
I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling

[Chorus]
Nothing I can see but you when you dance, dance, dance
(I can't stop the feeling)
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
(I can't stop the feeling)
All those things I shouldn't do
But you dance, dance, dance
(I can't stop the feeling)
And ain't nobody leaving soon, so keep dancing

[Outro]
Everybody sing
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Wanna see you move your body
(I can't stop the feeling)
Got this feeling in my body
Break it down
Got this feeling in my body
Can't stop the feeling
Got this feeling in my body, come on"
34,Work,Rihanna featuring Drake,ANTI,Rihanna featuring,Work Rihanna featuring,"[Hook: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Verse 1: Rihanna]
Dry! ...Me a desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been!
Mmmmm!
But I wake up and act like nothing's wrong
Just get ready fi...

[Hook: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
Ner ner ner ner ner ner!
When yuh ago learn learn learn learn learn learn!
Before the tables turn turn turn turn turn turn!

[Verse 2: Rihanna]
Beg you something please
Baby don't you leave
Don’t leave me stuck here in the streets, uh huh
If I get another chance to
I will never, no never neglect you
I mean who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe!!!
I have to

[Hook: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Verse 3: Drake]
Yeah, okay
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you
When I see potential I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it, if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh
I spilled all my emotions tonight, I’m sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face to face
You could pick the time and the place
You spent some time away
Now you need to forward and give me all the...

[Hook: Rihanna & Drake]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He se me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Outro: Rihanna]
Mmmmm, mmmmm
Mmmmm, mmmmm
Work, work, work, work, work, work
Mmmmm, mmmmm

[Click here to learn more about the making of ""Work""]

[Produced by Boi-1da]"
35,Treat You Better,Shawn Mendes,Illuminate,Shawn Mendes,Treat You Better Shawn Mendes,"[Verse 1]
I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop

[Chorus]
I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can

[Verse 2]
I'll stop time for you
The second you say you'd like me to
I just wanna give you the loving that you're missing
Baby, just to wake up with you
Would be everything I need and this could be so different
Tell me what you want to do

[Chorus]
'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can

[Bridge]
Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down

[Chorus]
'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can"
36,Unforgettable,French Montana featuring Swae Lee,Jungle Rules,French Montana,Unforgettable French Montana,"[Chorus: Swae Lee]
It's not good enough for me
Since I've been with you, ooh
It's not gonna work for you
Nobody can equal me (I know)
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, is she tipsy?
I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey
And you are unforgettable
I need to get you alone (oeh)
Why not? A fuckin' good time never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 1: French Montana]
Feelin' like I'm fresh out; Boosie
If they want the drama, got the Uzi
Ship the whole crew to the cruise ship
Doin' shit you don't even see in movies
Ride with me, ride with me, boss
I got a hard head, but her ass soft
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it

[Refrain: Swae Lee & French Montana]
And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

[Chorus: Swae Lee]
It's not good enough for me
Since I've been with you, ooh
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, is she tipsy?
I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey
And you are unforgettable
I need to get you alone (oeh)
Why not? A fuckin' good time never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 2: French Montana]
You ain't enough for me
Too much for you alone
Baby, go and grab some bad bitches, bring 'em home
Know the jet's on me
I'ma curve my best for you, you know
So pick up that dress for me
Leave the rest on
Too much convo for 24 hours
When you stand next to 24 karats
She left her man at home
She don't love him no more
I want your mind and your body
Don't mind nobody
So, you don't ever hurt nobody
Baby girl, work your body, work your body

[Refrain: Swae Lee & French Montana]
And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi
Why not?

[Outro: Swae Lee]
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do"
