,Song,Artist,artist_trunc,search_term,lyrics_raw
1199,Fall in Love with Me,"Earth, Wind & Fire","Earth, Wind","Fall in Love with Me Earth, Wind","[Verse 1]
I can tell you that love is too deep to be played on
Down the line, you'd find time would reveal who to count on
I'm well inclined to use the lines that comes from the learning tree
Let the seed that grows, and ages old give us our destiny

[Hook]
Baby, you know, I could pick you up
Turn your life around
If you fall in love with me
I would pick you up, never let you down
If you fall in love with me

[Verse 2]
If you're having second thoughts from the past I can cool you out
I've been there before, right down to the core I can sing and shout
I can't hold back what I feel I bring experience
I'll be your rock when Gibraltar falls, baby, give me a cause

[Hook]
Baby, you know, I could pick you up
Turn your life around
If you fall in love with me
I would pick you up, never let you down
If you fall in love with me
Baby, in love with me, find yourself a part of me
Baby, in love with me, help yourself to all of me

Falling in love
Falling in love

Baby, you know, I could pick you up
Turn your life around
If you fall in love with me
I would pick you up, never let you down
If you fall in love with me
Baby, in love with me, find yourself a part of me
Baby, in love with me, help yourself to all of me

[Outro]
Can you fall in love?
Oh, baby
Oh, baby
Can you fall in love with me?

[Fading hook]
Baby, you know, I could pick you up
Turn your life around
If you fall in love with me"
1200,Hey Jude,The Beatles,The Beatles,Hey Jude The Beatles,"[Verse 1]
Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

[Verse 2]
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

[Verse 3]
And anytime you feel the pain, hey Jude, refrain
Don't carry the world upon your shoulders
For well you know that it's a fool who plays it cool
By making his world a little colder

[Verse 4]
Hey Jude, don't let me down
You have found her, now go and get her
(Let it out and let it in, Hey Jude)
Remember to let her into your heart
Then you can start to make it better

[Verse 5]
So let it out and let it in, hey Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you, hey Jude, you'll do
The movement you need is on your shoulder

[Verse 6]
Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her under your skin
Then you'll begin to make it
Better better better better better better, oh

[Outro]
Na na na na na, na na na, hey Jude
Na na na na na, na na na, hey Jude..."
1201,Love is Blue,Paul Mauriat,Paul Mauriat,Love is Blue Paul Mauriat,"Blue, blue, my world is blue
Blue is my world now I'm without you
Gray, gray, my life is gray
Cold is my heart since you went away
Red, red, my eyes are red
Crying for you alone in my bed
Green, green, my jealous heart
I doubted you and now we're apart
When we met how the bright sun shone
Then love died, now the rainbow is gone
Black, black, the nights I've known
Longing for you so lost and alone"
1202,Honey,Bobby Goldsboro,Bobby Goldsboro,Honey Bobby Goldsboro,"See the tree, how big it's grown
But friend it hasn't been too long
It wasn't big
I laughed at her and she got mad
The first day that she planted it, was just a twig

Then the first snow came
And she ran out to brush the snow away
So it wouldn't die
Came runnin' in all excited
Slipped and almost hurt herself
And I laughed till I cried

She was always young at heart
Kinda dumb and kinda smart and I loved her so
And I surprised her with a puppy
Kept me up all Christmas Eve two years ago

And it would sure embarrass her
When I came in from workin' late
Cause I would know
That she'd been sittin' there and cryin'
Over some sad and silly late, late show

And honey, I miss you
And I'm bein' good
And I'd love to be with you
If only I could

She wrecked the car and she was sad
And so afraid that I'd be mad
But what the heck
Though I pretended hard to be
Guess you could say she saw through me
And hugged my neck

I came home unexpectedly
And caught her cryin' needlessly
In the middle of the day
And it was in the early Spring
When flowers bloom and robins sing
She went away

And honey, I miss you
And I'm bein' good
And I'd love to be with you
If only I could

One day while I was not at home
While she was there and all alone
The angels came
Now all I have is memories of Honey
And I wake up nights and call her name

Now my life's an empty stage
Where Honey lived and Honey played
And love grew up
And a small cloud passes overhead
And cries down on the flower bed
That Honey loved

And see the tree how big it's grown
But friend it hasn't been too long
It wasn't big
And I laughed at her and she got mad
The first day that she planted it, was just a twig"
1203,(Sittin' On) The Dock of the Bay,Otis Redding,Otis Redding,(Sittin' On) The Dock of the Bay Otis Redding,error
1204,People Got to Be Free,The Rascals,The Rascals,People Got to Be Free The Rascals,"All the world over, so easy to see
People everywhere just wanna be free
Listen, please listen, that's the way it should be
There's peace in the valley, people got to be free

You should see what a lovely, lovely world this'd be
Everyone learned to live together, ah hah
Seems to me such an itty bitty thing should be
Why can't you and me learn to love one another?

All the world over, so easy to see
People everywhere just wanna be free (wanna be free)
I can't understand it, so simple to me
People everywhere just got to be free

If there's a man who is down and needs a helpin' hand
All it takes is you to understand and to pull him through, ah hah
Seems to me we got to solve it individually, ah ah
And I'll do unto you what you do to me
Said, no

Shout it from the mountain on out to the sea
No two ways about it, people have to be free (they gotta be free)
Ask me my opinion, my opinion will be
Natural situation for a man to be free
Get right on board now, huh, huh

Oh, what a feelin's just come over me
Love can move a mountain, make a blind man see
Everybody sing it now come on let's go see
Peace in the valley now, we all can be free

See that train over there?
Now that's the train of freedom
It's about to 'rrive any minute, now
You know it's been'a long, long overdue
Look out 'cause it's a'comin' right on through
Ha, ha, yeah"
1205,Sunshine of Your Love,Cream,Cream,Sunshine of Your Love Cream,"[Verse 1]
It’s getting near dawn
And lights close their tired eyes
I’ll soon be with you, my love
To give you my dawn surprise
I’ll be with you darling soon
I’ll be with you when the stars start falling

[Chorus]
I’ve been waiting so long
To be where I’m going
In the sunshine of your love

[Verse 2]
I’m with you my love
The lights shining through on you
Yes I’m with you my love
It’s the morning and just we two
I’ll stay with you darling now
I’ll stay with you till my seas are dried up

[Chorus]
I’ve been waiting so long
To be where I’m going
In the sunshine of your love

[Verse 2]
I’m with you my love
The lights shining through on you
Yes I’m with you my love
It’s the morning and just we two
I’ll stay with you darling now
I’ll stay with you till my seas are dried up

[Chorus]
I’ve been waiting so long
I’ve been waiting so long
I’ve been waiting so long
To be where I’m going
In the sunshine of your love"
1206,This Guy's in Love With You,Herb Alpert,Herb Alpert,This Guy's in Love With You Herb Alpert,"You see this guy
This guy's in love with you
Yes, I'm in love
Who looks at you the way I do
When you smile I can tell
We know each other very well
How can I show you
I'm glad I got to know you, 'cause

I've heard some talk
They say you think I'm fine
Yeah, I'm in love
And what I'd do to make you mine
Tell me now, is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking, 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not, I'll just die

Tell me now, is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking, 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not, I'll just die"
1207,"The Good, the Bad and the Ugly",Hugo Montenegro,Hugo Montenegro,"The Good, the Bad and the Ugly Hugo Montenegro","Here is the tale of the boy standing in front of you
Not one word is exaggerated -- entirely true
A four square in chemistry, my agenda tonight
As I rock the house left, and a I rock the house right
I can't fly, I can't dance
And I don't like any bands
Listen up, 'cause I am Atom, I am the sequencing man
Where I want is where I go
I'm always armed with a burrito
Listen up, 'cause I am Atom, I am the sequencing man
I travel the world with my band in a box
And I rock 10 times harder than your average punk rock band
I'm almost done, I'm almost through
I hope to God I'm not boring you
I often do the number 2
I am the always often pooping Jew
I can't fly, I can't dance
And I don't like any bands
Listen up, 'cause I am Atom, I am the sequencing man
Where I want is where I go
I'm always armed with a burrito
Listen up, 'cause I am Atom, I am the sequencing man
I can't fly, I can't dance
And I don't like your band
Listen up, 'cause I am Atom, I am the sequencing man
Where I want is where I go
I'm always armed with a burrito
Pay attention, 'cause I am Atom, I am the sequencing man"
1208,Mrs. Robinson,Simon & Garfunkel,Simon &,Mrs. Robinson Simon &,"[Intro]
Dee dee dee dee dee dee dee dee dee dee dee dee dee
Doo doo doo doo doo doo doo doo doo
Dee dee dee dee dee dee dee dee dee dee dee dee dee

[Hook]
And here's to you, Mrs. Robinson
Jesus loves you more than you will know
Wo, wo, wo
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

[Verse 1]
We'd like to know a little bit about you for our files
We'd like to help you learn to help yourself
Look around you, all you see are sympathetic eyes
Stroll around the grounds until you feel at home

[Hook]
And here's to you, Mrs. Robinson
Jesus loves you more than you will know
Wo, wo, wo
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

[Verse 2]
Hide it in a hiding place where no one ever goes
Put it in your pantry with your cupcakes
It's a little secret, just the Robinsons' affair
Most of all, you've got to hide it from the kids

[Hook]
Coo, coo, ca-choo, Mrs. Robinson
Jesus loves you more than you will know
Wo, wo, wo
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

[Verse 3]
Sitting on a sofa on a Sunday afternoon
Going to the candidates debate
Laugh about it, shout about it
When you've got to choose
Every way you look at it, you lose

[Hook]
Where have you gone, Joe DiMaggio
A nation turns its lonely eyes to you
Woo, woo, woo
What's that you say, Mrs. Robinson
Joltin' Joe has left and gone away
Hey, hey, hey
Hey, hey, hey"
1209,Tighten Up,Archie Bell & the Drells,Archie Bell,Tighten Up Archie Bell,"Hi everybody
I'm Archie Bell of the Drells
From Houston, Texas
We don't only sing but we dance
Just as good as we walk
In Houston we just started a new dance
Called the Tighten Up
This is the music
We tighten up with

First tighten up on the drums
Come on now, drummer
I want you to tighten it up for me now
Oh, yeah
Tighten up on that bass now
Tighten it up
Ha, ha, yeah
Now let that guitar fall in
Oh, yeah
Tighten up on that organ now
Yeah, you do the tighten up
Yeah, now

I said, if you can do it now
It sure would be tough
Now look here, come on now
Now make it mellow

Let's tighten it up now
Do the tighten up
Everybody can do it now
So get to it
We're gonna tighten up
Let's do the tighten up
You can do it now
So baby, get to it

Look to your left now
Look to your right
Everybody can do it
But don't you get too tight
Come on and tighten up
Let's tighten it up now
Let's tighten it up now
Tighten it up
Do the tighten up
Come and tighten it up
Tighten it up now

Come on now, Billy
Tighten it up
Oh, yeah
Sock it to me now
Tighten it up
Come on and tighten up that bass
Oh, yeah
Now look here
I want that guitar
To fall in on there
Tighten it up now
Oh, yeah
Now tighten it up, organ

Now everybody tighten it up now
Now look here
We gonna make it mellow for you now
We gonna make it mellow now
Tighten it up
You can get it
Move to your left
Move to your right
Tighten it up now
Everything will be outta sight
Come on and tighten it up
Tighten it up now
You can do it..."
1210,Harper Valley PTA,Jeannie C. Riley,Jeannie C.,Harper Valley PTA Jeannie C.,"I wanna tell you all the story bout the Harper Valley widowed wife
Who had a teenage daughter who attended Harper Valley Junior High
Well her daughter came home one afternoon and didn't even stop to play
And she said mom, I got a note here from the Harper Valley PTA

Well the note said Mrs.Johnson, you're wearin' your dresses way too high
It's reported you've been drinkin' and a runnin' round with men and goin' wild
And we don't believe you oughta be a-bringin' up your little girl this way
And it was signed by the Secretary, Harper Valley PTA

Well it happened that the PTA was gonna meet that very afternoon
And they were sure surprised when Mrs. Johnson wore her miniskirt into the room
And as she walked up to the blackboard I can still recall the words she had to say
She said I'd like to address this meeting of the Harper Valley PTA

Well there's Bobby Taylor sittin' there, and seven times he asked me for a date
And Mrs. Taylor sure seems to use a lotta ice whenever he's away
And Mr. Baker can you tell us why your secretary had to leave this town?
And shouldn't widow Jones be told to keep
Her window shades all pulled completely down

Well, Mr Harper couldn't be here cause he stayed too long at Kelly's Bar again
And if you smell Shirley Thompson's breath you'll find she's had a little nip of gin
And then you have the nerve to tell me you think that as a mother I'm not fit
Well this is just a little Peyton Place and you're all Harper Valley hypocrites

No, I wouldn't put you on because it really did, it happened just this way
The day my mama socked it to the Harper Valley PTA
The day my mama socked it to the Harper Valley PTA"
1211,Little Green Apples,O. C. Smith,O. C.,Little Green Apples O. C.,error
